dataset	ID	adj.P.Val	logFC	symbol	abs_logFC	direction
GSE62254	1554232_a_at	0.00596	-0.0389		0.0389	Down
GSE62254	202773_s_at	0.009	-0.0704	SFSWAP	0.0704	Down
GSE62254	231984_at	0.0101	-0.152	MTAP	0.152	Down
GSE62254	228561_at	0.00984	-0.126	CDC37L1	0.126	Down
GSE62254	216988_s_at	0.00892	-0.0638	PTP4A2	0.0638	Down
GSE62254	217858_s_at	0.0101	0.169	ARMCX3	0.169	Up
GSE62254	62987_r_at	0.0101	0.0457	CACNG4	0.0457	Up
GSE62254	212352_s_at	0.00868	-0.0544	TMED10	0.0544	Down
GSE62254	222251_s_at	0.0102	0.0707	GMEB2	0.0707	Up
GSE62254	219534_x_at	0.00972	0.175	CDKN1C	0.175	Up
GSE62254	212894_at	0.0102	-0.0879	SUPV3L1	0.0879	Down
GSE62254	219918_s_at	0.00993	-0.129	ASPM	0.129	Down
GSE62254	212691_at	0.0102	-0.0631	NUP188	0.0631	Down
GSE62254	238742_x_at	0.0102	-0.077	LOC102724362	0.077	Down
GSE62254	216559_x_at	0.00987	-0.064		0.064	Down
GSE62254	219964_at	0.00741	-0.0543	ST7L	0.0543	Down
GSE62254	1555125_at	0.00858	-0.11	PAXBP1	0.11	Down
GSE62254	1557915_s_at	0.00928	-0.0863	GSTO1	0.0863	Down
GSE62254	211864_s_at	0.0101	-0.143	MYOF	0.143	Down
GSE62254	201396_s_at	0.0103	-0.0527	SGTA	0.0527	Down
GSE62254	204992_s_at	0.0102	0.277	PFN2	0.277	Up
GSE62254	1552263_at	0.0102	-0.106	MAPK1	0.106	Down
GSE62254	229490_s_at	0.00908	0.145		0.145	Up
GSE62254	231399_at	0.00977	-0.232	RAB3IP	0.232	Down
GSE62254	211678_s_at	0.00968	0.0844	RNF114	0.0844	Up
GSE62254	207528_s_at	0.00925	-0.148	SLC7A11	0.148	Down
GSE62254	225821_s_at	0.0103	0.0786	BOD1L1	0.0786	Up
GSE62254	242196_at	0.00937	-0.143	ARHGAP32	0.143	Down
GSE62254	1554771_at	0.00627	0.0572		0.0572	Up
GSE62254	1563958_at	0.00604	-0.0322		0.0322	Down
GSE62254	242723_at	0.0076	-0.0918		0.0918	Down
GSE62254	223037_at	0.0101	0.0774	PDZD11	0.0774	Up
GSE62254	1564651_at	0.00819	-0.108	SMIM13	0.108	Down
GSE62254	227421_at	0.0104	-0.125	YBEY	0.125	Down
GSE62254	229284_at	0.007	-0.0734	MAT2B	0.0734	Down
GSE62254	226905_at	0.0104	0.145	FAM101B	0.145	Up
GSE62254	226057_at	0.00687	-0.0703	ARHGAP31	0.0703	Down
GSE62254	235334_at	0.00713	0.136	ST6GALNAC3	0.136	Up
GSE62254	216594_x_at	0.0101	0.251	AKR1C1	0.251	Up
GSE62254	227507_at	0.0104	0.0553	ZNF592	0.0553	Up
GSE62254	239615_at	0.00765	-0.0679	SLC22A5	0.0679	Down
GSE62254	202419_at	0.0102	-0.0973	KDSR	0.0973	Down
GSE62254	228574_at	0.0104	-0.131	TMTC2	0.131	Down
GSE62254	35156_at	0.0103	-0.0718	R3HCC1	0.0718	Down
GSE62254	242625_at	0.0104	-0.299	RSAD2	0.299	Down
GSE62254	218739_at	0.0104	-0.0879	ABHD5	0.0879	Down
GSE62254	212523_s_at	0.0101	-0.0943	SPIDR	0.0943	Down
GSE62254	229283_at	0.00718	0.099	LOC728613	0.099	Up
GSE62254	232126_at	0.00806	-0.0846	COQ2	0.0846	Down
GSE62254	209927_s_at	0.0105	-0.0656	CHTOP	0.0656	Down
GSE62254	237056_at	0.00729	0.184	INSC	0.184	Up
GSE62254	210667_s_at	0.0105	-0.1	C21orf33	0.1	Down
GSE62254	235245_at	0.0105	0.125	TMEM92	0.125	Up
GSE62254	232898_at	0.00701	0.099	DAB2	0.099	Up
GSE62254	218448_at	0.0103	0.0914	GID8	0.0914	Up
GSE62254	1554853_at	0.00717	-0.034	CYP2U1	0.034	Down
GSE62254	222444_at	0.0105	0.164	ARMCX3	0.164	Up
GSE62254	220233_at	0.0089	0.136	FBXO17	0.136	Up
GSE62254	226674_at	0.00925	0.0652	SHISA4	0.0652	Up
GSE62254	231808_at	0.0106	-0.0834	OIP5-AS1	0.0834	Down
GSE62254	205392_s_at	0.00994	0.124	CCL15-CCL14///CCL14	0.124	Up
GSE62254	218073_s_at	0.0106	-0.147	NDC1	0.147	Down
GSE62254	231950_at	0.00897	-0.183	ZNF658	0.183	Down
GSE62254	227797_x_at	0.0103	-0.0497	LYRM2	0.0497	Down
GSE62254	1554334_a_at	0.0105	-0.143	DNAJA4	0.143	Down
GSE62254	224822_at	0.0106	0.141	DLC1	0.141	Up
GSE62254	209754_s_at	0.0105	-0.169	TMPO	0.169	Down
GSE62254	218853_s_at	0.0106	0.125	MOSPD1	0.125	Up
GSE62254	1555202_a_at	0.0083	-0.129	RPRD1A	0.129	Down
GSE62254	211816_x_at	0.00785	-0.0665	FCAR	0.0665	Down
GSE62254	223154_at	0.0104	-0.0853	MRPL1	0.0853	Down
GSE62254	213652_at	0.0104	0.179	PCSK5	0.179	Up
GSE62254	224283_x_at	0.00865	-0.0565	IL18BP	0.0565	Down
GSE62254	210385_s_at	0.0106	-0.14	ERAP1	0.14	Down
GSE62254	236646_at	0.0066	-0.086	TMEM52B	0.086	Down
GSE62254	212998_x_at	0.0103	-0.227	LOC101060835///HLA-DQB1	0.227	Down
GSE62254	202688_at	0.0101	-0.164	TNFSF10	0.164	Down
GSE62254	232149_s_at	0.0106	-0.119	NSMAF	0.119	Down
GSE62254	240382_at	0.00752	0.108	LOC101928076	0.108	Up
GSE62254	1554440_at	0.00671	-0.0734	KIAA0513	0.0734	Down
GSE62254	1569053_at	0.00795	-0.0786	AP3M2	0.0786	Down
GSE62254	205110_s_at	0.00892	0.236	FGF13	0.236	Up
GSE62254	200093_s_at	0.00892	-0.0713	HINT1	0.0713	Down
GSE62254	209711_at	0.0107	0.133	SLC35D1	0.133	Up
GSE62254	1558511_s_at	0.0105	-0.108	ESYT2	0.108	Down
GSE62254	1553133_at	0.0103	-0.153	C9orf72	0.153	Down
GSE62254	212386_at	0.0105	0.158	TCF4	0.158	Up
GSE62254	209786_at	0.0103	-0.0797	HMGN4	0.0797	Down
GSE62254	238745_at	0.00754	-0.0416		0.0416	Down
GSE62254	217790_s_at	0.0107	-0.0866	SSR3	0.0866	Down
GSE62254	230786_at	0.00993	-0.0875	ZCCHC8	0.0875	Down
GSE62254	232517_s_at	0.00837	-0.0471	HELZ2	0.0471	Down
GSE62254	204855_at	0.0101	-0.28	SERPINB5	0.28	Down
GSE62254	205348_s_at	0.00835	0.159	DYNC1I1	0.159	Up
GSE62254	229499_at	0.0105	0.119	CAPN13	0.119	Up
GSE62254	209917_s_at	0.0107	0.153	TP53TG1	0.153	Up
GSE62254	227223_at	0.0106	0.15	RBM39	0.15	Up
GSE62254	1554272_at	0.00553	-0.0321	ERAP2	0.0321	Down
GSE62254	219392_x_at	0.0106	0.084	PRR11	0.084	Up
GSE62254	211577_s_at	0.00938	0.0828	IGF1	0.0828	Up
GSE62254	225697_at	0.0108	0.109	CDK12	0.109	Up
GSE62254	223183_at	0.0107	-0.115	AGPAT3	0.115	Down
GSE62254	201668_x_at	0.00977	0.0978	MARCKS	0.0978	Up
GSE62254	225914_s_at	0.00974	0.169	CAB39L	0.169	Up
GSE62254	225473_at	0.00752	0.0634	SOGA1	0.0634	Up
GSE62254	203797_at	0.0108	-0.37	VSNL1	0.37	Down
GSE62254	221432_s_at	0.0107	-0.0804	SLC25A28	0.0804	Down
GSE62254	226101_at	0.0105	0.0907	PRKCE	0.0907	Up
GSE62254	228440_at	0.00974	-0.113		0.113	Down
GSE62254	224699_s_at	0.0105	-0.107	ESYT2	0.107	Down
GSE62254	226730_s_at	0.0109	-0.0707	USP37	0.0707	Down
GSE62254	227861_at	0.0107	-0.101	TMEM161B	0.101	Down
GSE62254	206484_s_at	0.00767	0.186	XPNPEP2	0.186	Up
GSE62254	1554396_at	0.0106	-0.0678	UEVLD	0.0678	Down
GSE62254	206561_s_at	0.0106	0.557	AKR1B10	0.557	Up
GSE62254	233208_x_at	0.0109	-0.109	CPSF2	0.109	Down
GSE62254	228370_at	0.00897	0.226	LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///IPW	0.226	Up
GSE62254	216387_x_at	0.0105	-0.0764		0.0764	Down
GSE62254	202709_at	0.0109	0.213	FMOD	0.213	Up
GSE62254	236821_at	0.00804	-0.0772		0.0772	Down
GSE62254	233770_at	0.00699	0.11		0.11	Up
GSE62254	238847_at	0.00642	0.0746	HOXD10	0.0746	Up
GSE62254	223612_s_at	0.0086	0.0999	LNX1	0.0999	Up
GSE62254	219962_at	0.0104	0.395	ACE2	0.395	Up
GSE62254	1559131_a_at	0.00607	0.046	LOC101928047	0.046	Up
GSE62254	236611_at	0.01	-0.0587	LOC101928000	0.0587	Down
GSE62254	226689_at	0.0108	-0.0796	CISD2	0.0796	Down
GSE62254	205520_at	0.00809	-0.0725	STRN	0.0725	Down
GSE62254	230976_at	0.0105	0.102	AK8	0.102	Up
GSE62254	235623_at	0.0106	0.0572	ELP2	0.0572	Up
GSE62254	219377_at	0.011	0.152	GAREM1	0.152	Up
GSE62254	213738_s_at	0.00841	-0.0809	ATP5A1	0.0809	Down
GSE62254	226982_at	0.011	0.133	ELL2	0.133	Up
GSE62254	211711_s_at	0.0109	-0.097	PTEN	0.097	Down
GSE62254	213586_at	0.0075	-0.0432	CDKN2D	0.0432	Down
GSE62254	220613_s_at	0.00844	0.12	SYTL2	0.12	Up
GSE62254	205667_at	0.011	-0.0996	WRN	0.0996	Down
GSE62254	223878_at	0.00832	-0.188	INPP4B	0.188	Down
GSE62254	206917_at	0.00719	-0.0776	GNA13	0.0776	Down
GSE62254	235739_at	0.0101	-0.15		0.15	Down
GSE62254	212626_x_at	0.0101	-0.0482	HNRNPC	0.0482	Down
GSE62254	224938_at	0.011	0.0988	NUFIP2	0.0988	Up
GSE62254	217294_s_at	0.0105	-0.178	ENO1	0.178	Down
GSE62254	215683_at	0.00911	-0.0451	RBFADN	0.0451	Down
GSE62254	209623_at	0.0105	-0.0986	MCCC2	0.0986	Down
GSE62254	227121_at	0.011	0.133	ZBTB20	0.133	Up
GSE62254	212147_at	0.0111	0.0603	SMG5	0.0603	Up
GSE62254	210529_s_at	0.0103	-0.1	LOC100294033///TCAF1	0.1	Down
GSE62254	213963_s_at	0.00822	-0.0768	SAP30	0.0768	Down
GSE62254	225506_at	0.0111	-0.0892	KIAA1468	0.0892	Down
GSE62254	219201_s_at	0.0111	-0.168	TWSG1	0.168	Down
GSE62254	225160_x_at	0.011	-0.159	MDM2	0.159	Down
GSE62254	210974_s_at	0.0109	-0.0914	AP3D1	0.0914	Down
GSE62254	243271_at	0.0111	-0.18		0.18	Down
GSE62254	203778_at	0.0111	-0.0853	MANBA	0.0853	Down
GSE62254	201917_s_at	0.011	0.109	SLC25A36	0.109	Up
GSE62254	203362_s_at	0.0106	-0.135	MAD2L1	0.135	Down
GSE62254	220296_at	0.0105	0.0863		0.0863	Up
GSE62254	212858_at	0.0112	-0.108	PAQR4	0.108	Down
GSE62254	234033_at	0.00835	0.124		0.124	Up
GSE62254	227313_at	0.0109	0.0718	CNPY4	0.0718	Up
GSE62254	244052_at	0.0112	-0.107	CBR4	0.107	Down
GSE62254	213451_x_at	0.011	0.105	TNXB///TNXA	0.105	Up
GSE62254	1552511_a_at	0.00564	0.14	CPA6	0.14	Up
GSE62254	239043_at	0.00607	0.138	ZNF404	0.138	Up
GSE62254	202573_at	0.0111	-0.0615	CSNK1G2	0.0615	Down
GSE62254	213325_at	0.0111	-0.215	NECTIN3	0.215	Down
GSE62254	213340_s_at	0.0104	0.166	TP73-AS1	0.166	Up
GSE62254	233123_at	0.00936	0.0979	SLC40A1	0.0979	Up
GSE62254	1565743_at	0.00627	0.097	N4BP2L2	0.097	Up
GSE62254	208194_s_at	0.00932	-0.11	STAM2	0.11	Down
GSE62254	210004_at	0.0104	-0.354	OLR1	0.354	Down
GSE62254	235673_at	0.0104	0.0683		0.0683	Up
GSE62254	217666_at	0.00677	-0.048		0.048	Down
GSE62254	224791_at	0.0111	0.105	ASAP1	0.105	Up
GSE62254	244389_at	0.00845	-0.0706	TLK1	0.0706	Down
GSE62254	227722_at	0.0108	-0.137	RPS23	0.137	Down
GSE62254	214277_at	0.00759	-0.106	COX11	0.106	Down
GSE62254	200079_s_at	0.0102	-0.0666	KARS	0.0666	Down
GSE62254	223260_s_at	0.0106	-0.127	POLK	0.127	Down
GSE62254	218966_at	0.0108	-0.134	MYO5C	0.134	Down
GSE62254	226080_at	0.0113	0.0755	SSH2	0.0755	Up
GSE62254	238453_at	0.0084	-0.0977	FGFBP3	0.0977	Down
GSE62254	206155_at	0.00786	0.159	ABCC2	0.159	Up
GSE62254	234718_at	0.00813	-0.048	ANO2	0.048	Down
GSE62254	1569030_s_at	0.0112	-0.125	NUB1	0.125	Down
GSE62254	201313_at	0.0109	-0.194	ENO2	0.194	Down
GSE62254	202295_s_at	0.0103	0.151	CTSH	0.151	Up
GSE62254	229325_at	0.0114	-0.0711	ZZZ3	0.0711	Down
GSE62254	214051_at	0.0102	0.176	TMSB15B///TMSB15A	0.176	Up
GSE62254	218848_at	0.0113	-0.096	THOC6	0.096	Down
GSE62254	241234_at	0.00932	-0.0554	LOC100506797	0.0554	Down
GSE62254	243041_s_at	0.00728	0.113		0.113	Up
GSE62254	229692_at	0.0104	0.174		0.174	Up
GSE62254	1560264_at	0.00606	0.0547		0.0547	Up
GSE62254	203406_at	0.011	-0.0622	MFAP1	0.0622	Down
GSE62254	226295_at	0.0111	0.0844	LOC100507424///ITFG2	0.0844	Up
GSE62254	212423_at	0.0113	0.158	ZCCHC24	0.158	Up
GSE62254	1557738_at	0.00709	0.102		0.102	Up
GSE62254	210773_s_at	0.0106	-0.215	FPR2	0.215	Down
GSE62254	229470_at	0.0108	0.102		0.102	Up
GSE62254	213836_s_at	0.0114	0.14	WIPI1	0.14	Up
GSE62254	205116_at	0.0107	0.126	LAMA2	0.126	Up
GSE62254	203534_at	0.0107	-0.0736	LSM1	0.0736	Down
GSE62254	235968_at	0.0104	-0.0851	AGAP1	0.0851	Down
GSE62254	233899_x_at	0.00942	0.244	ZBTB10	0.244	Up
GSE62254	203095_at	0.0108	-0.0615	MTIF2	0.0615	Down
GSE62254	209926_at	0.0104	-0.0714	BORCS8	0.0714	Down
GSE62254	224519_at	0.0107	-0.0649	LOC100132167	0.0649	Down
GSE62254	1568640_at	0.00981	-0.0966	PCBP1-AS1	0.0966	Down
GSE62254	235024_at	0.0111	-0.118	JADE1	0.118	Down
GSE62254	234672_s_at	0.0109	-0.0934	NDC1	0.0934	Down
GSE62254	207508_at	0.00965	-0.071	ATP5G3	0.071	Down
GSE62254	222329_x_at	0.0112	-0.046		0.046	Down
GSE62254	205448_s_at	0.0107	0.0631	MAP3K12	0.0631	Up
GSE62254	222858_s_at	0.0114	-0.137	DAPP1	0.137	Down
GSE62254	242293_at	0.0116	-0.0689	ING3	0.0689	Down
GSE62254	36553_at	0.0115	-0.127	ASMTL	0.127	Down
GSE62254	220018_at	0.011	-0.101	CBLL1	0.101	Down
GSE62254	223160_s_at	0.0113	-0.0616	PPP4R3A	0.0616	Down
GSE62254	217354_s_at	0.0109	-0.0645	HPS1	0.0645	Down
GSE62254	204434_at	0.0116	0.0991	SPATA2	0.0991	Up
GSE62254	224150_s_at	0.0116	-0.161	CEP70	0.161	Down
GSE62254	236439_at	0.0104	-0.246	LOC106146153	0.246	Down
GSE62254	200784_s_at	0.0111	0.0615	LRP1	0.0615	Up
GSE62254	204558_at	0.0114	-0.0965	RAD54L	0.0965	Down
GSE62254	229515_at	0.0106	-0.16	PAWR	0.16	Down
GSE62254	227198_at	0.00692	0.144	AFF3	0.144	Up
GSE62254	216303_s_at	0.0079	-0.0569	MTMR1	0.0569	Down
GSE62254	239661_at	0.00672	0.0621		0.0621	Up
GSE62254	215118_s_at	0.00955	0.216	IGH	0.216	Up
GSE62254	1555846_a_at	0.0115	-0.0972		0.0972	Down
GSE62254	210007_s_at	0.0115	-0.119	GPD2	0.119	Down
GSE62254	216920_s_at	0.0114	-0.22	TARP///TRGV9///TRGC2	0.22	Down
GSE62254	235872_at	0.0106	-0.0648	TERF2	0.0648	Down
GSE62254	208066_s_at	0.0113	-0.0668	GTF2B	0.0668	Down
GSE62254	218977_s_at	0.0117	-0.0663	TRNAU1AP	0.0663	Down
GSE62254	205952_at	0.00717	0.129	KCNK3	0.129	Up
GSE62254	1565701_at	0.0097	0.0946		0.0946	Up
GSE62254	239595_at	0.0104	0.155	GPX2	0.155	Up
GSE62254	244774_at	0.011	0.19	PHACTR2	0.19	Up
GSE62254	235007_at	0.0113	-0.108	BBS7	0.108	Down
GSE62254	56256_at	0.0115	0.117	SIDT2	0.117	Up
GSE62254	204482_at	0.0117	0.0787	CLDN5	0.0787	Up
GSE62254	215028_at	0.00819	0.197	SEMA6A	0.197	Up
GSE62254	204284_at	0.0111	0.231	PPP1R3C	0.231	Up
GSE62254	1555981_at	0.0086	-0.0888	ASB16-AS1	0.0888	Down
GSE62254	236666_s_at	0.0104	0.0818	LRRC10B	0.0818	Up
GSE62254	227603_at	0.0115	0.133		0.133	Up
GSE62254	212238_at	0.0115	0.0808	ASXL1	0.0808	Up
GSE62254	227539_at	0.0117	-0.0681	GNA13	0.0681	Down
GSE62254	205650_s_at	0.00879	0.188	FGA	0.188	Up
GSE62254	1565705_x_at	0.0106	0.0594		0.0594	Up
GSE62254	214722_at	0.0118	0.122	NOTCH2NL	0.122	Up
GSE62254	239899_at	0.00748	-0.046	RNF145	0.046	Down
GSE62254	231697_s_at	0.0111	0.133	MIR21///VMP1	0.133	Up
GSE62254	244545_at	0.0111	-0.212		0.212	Down
GSE62254	228374_at	0.0116	-0.0628	R3HCC1L	0.0628	Down
GSE62254	242260_at	0.0103	-0.152	MATR3	0.152	Down
GSE62254	242800_at	0.0097	0.0966	NHS	0.0966	Up
GSE62254	223301_s_at	0.0119	0.0791	CCDC82	0.0791	Up
GSE62254	207011_s_at	0.0117	0.172	PTK7	0.172	Up
GSE62254	242191_at	0.0103	0.121		0.121	Up
GSE62254	217965_s_at	0.0118	-0.0745	SAP30BP	0.0745	Down
GSE62254	202822_at	0.0115	0.109	LPP	0.109	Up
GSE62254	211737_x_at	0.0116	0.178	PTN	0.178	Up
GSE62254	218705_s_at	0.0117	-0.151	SNX24	0.151	Down
GSE62254	208238_x_at	0.0119	0.0756		0.0756	Up
GSE62254	223473_at	0.0111	-0.0776	MPV17L2	0.0776	Down
GSE62254	213372_at	0.0119	-0.111	PAQR3	0.111	Down
GSE62254	204939_s_at	0.0109	0.232	PLN	0.232	Up
GSE62254	202736_s_at	0.0116	-0.0974	LSM4	0.0974	Down
GSE62254	1553470_at	0.00858	-0.0424	DNAH17	0.0424	Down
GSE62254	221135_s_at	0.0119	0.0943	ASTE1	0.0943	Up
GSE62254	230696_at	0.00977	-0.0782	ATP2A1-AS1	0.0782	Down
GSE62254	222595_s_at	0.0101	0.0986	DIDO1	0.0986	Up
GSE62254	207450_s_at	0.00632	0.0544	POU6F2	0.0544	Up
GSE62254	222771_s_at	0.00787	0.25	MYEF2	0.25	Up
GSE62254	218593_at	0.0118	-0.0922	RBM28	0.0922	Down
GSE62254	203679_at	0.0119	-0.0579	TMED1	0.0579	Down
GSE62254	231145_at	0.00711	-0.14	PAX9	0.14	Down
GSE62254	202242_at	0.0103	0.22	TSPAN7	0.22	Up
GSE62254	207072_at	0.0113	-0.142	IL18RAP	0.142	Down
GSE62254	222679_s_at	0.0119	-0.128	DCUN1D1	0.128	Down
GSE62254	242698_at	0.00611	-0.0381	AKAP14	0.0381	Down
GSE62254	205580_s_at	0.0117	-0.0824	HRH1	0.0824	Down
GSE62254	232515_at	0.012	0.0557	GPR75-ASB3///ASB3///GPR75	0.0557	Up
GSE62254	202768_at	0.0115	0.208	FOSB	0.208	Up
GSE62254	211924_s_at	0.0118	-0.168	PLAUR	0.168	Down
GSE62254	204441_s_at	0.0119	-0.0897	POLA2	0.0897	Down
GSE62254	230298_at	0.012	-0.115	MBLAC2	0.115	Down
GSE62254	1568986_x_at	0.0118	0.0588	PIGT	0.0588	Up
GSE62254	212874_at	0.00849	-0.0546		0.0546	Down
GSE62254	211072_x_at	0.00892	-0.0396	TUBA1B	0.0396	Down
GSE62254	1569830_at	0.00729	-0.0863	PTPRC	0.0863	Down
GSE62254	223499_at	0.0118	0.116	C1QTNF5///MFRP	0.116	Up
GSE62254	243077_at	0.00775	0.0618	FLJ16734	0.0618	Up
GSE62254	224061_at	0.0101	0.114	INMT	0.114	Up
GSE62254	216091_s_at	0.00953	-0.0636	BTRC	0.0636	Down
GSE62254	223485_at	0.0119	-0.062	HAGHL	0.062	Down
GSE62254	210389_x_at	0.0119	0.0882	TUBD1	0.0882	Up
GSE62254	216897_s_at	0.00977	-0.0888	FAM76A	0.0888	Down
GSE62254	211213_at	0.00657	-0.0535	ORC5	0.0535	Down
GSE62254	218900_at	0.0121	-0.112	CNNM4	0.112	Down
GSE62254	206726_at	0.0103	0.136	HPGDS	0.136	Up
GSE62254	222030_at	0.0102	-0.0827	SIVA1	0.0827	Down
GSE62254	241897_at	0.00892	0.15		0.15	Up
GSE62254	234141_s_at	0.00823	-0.0432	LOC286059	0.0432	Down
GSE62254	225712_at	0.0121	-0.0804	GEMIN5	0.0804	Down
GSE62254	214234_s_at	0.0121	0.265	CYP3A5	0.265	Up
GSE62254	200056_s_at	0.0118	-0.0647	C1D	0.0647	Down
GSE62254	240106_at	0.0115	-0.104	GNPTAB	0.104	Down
GSE62254	227471_at	0.0121	-0.106	HACE1	0.106	Down
GSE62254	244251_at	0.00971	-0.136	LCP2	0.136	Down
GSE62254	217398_x_at	0.00936	-0.0632	GAPDH	0.0632	Down
GSE62254	205808_at	0.00964	-0.132	ASPH	0.132	Down
GSE62254	216894_x_at	0.0118	0.147	CDKN1C	0.147	Up
GSE62254	212406_s_at	0.0118	0.0987	PCMTD2	0.0987	Up
GSE62254	212109_at	0.0122	-0.116	HN1L	0.116	Down
GSE62254	235384_at	0.0119	-0.162	NUDT19	0.162	Down
GSE62254	231008_at	0.0122	0.242	UNC5CL	0.242	Up
GSE62254	237245_at	0.00813	-0.0943	BUB3	0.0943	Down
GSE62254	201873_s_at	0.0119	-0.073	ABCE1	0.073	Down
GSE62254	244704_at	0.00912	-0.0854	NFYB	0.0854	Down
GSE62254	205440_s_at	0.00588	0.146	NPY1R	0.146	Up
GSE62254	238481_at	0.00647	0.143	MGP	0.143	Up
GSE62254	221698_s_at	0.0123	-0.183	CLEC7A	0.183	Down
GSE62254	204006_s_at	0.0122	-0.321	FCGR3B///FCGR3A	0.321	Down
GSE62254	220765_s_at	0.011	0.0703	LIMS2	0.0703	Up
GSE62254	207922_s_at	0.0118	-0.0716	MAEA	0.0716	Down
GSE62254	204335_at	0.0122	-0.0605	CCDC94	0.0605	Down
GSE62254	208075_s_at	0.00897	-0.191	CCL7	0.191	Down
GSE62254	211395_x_at	0.0123	-0.19	FCGR2C	0.19	Down
GSE62254	226980_at	0.0123	-0.161	DEPDC1B	0.161	Down
GSE62254	239447_at	0.00837	-0.0843	TRA2B	0.0843	Down
GSE62254	203680_at	0.0121	0.215	PRKAR2B	0.215	Up
GSE62254	209664_x_at	0.00862	-0.0426	NFATC1	0.0426	Down
GSE62254	205383_s_at	0.0123	0.129	ZBTB20	0.129	Up
GSE62254	232382_s_at	0.0123	0.11	PCMTD1	0.11	Up
GSE62254	1552717_s_at	0.00892	-0.0764	CEP170P1///CEP170	0.0764	Down
GSE62254	208071_s_at	0.011	-0.0545	LAIR1	0.0545	Down
GSE62254	239801_at	0.0112	-0.0788	RNF40	0.0788	Down
GSE62254	206953_s_at	0.0122	0.186	ADGRL2	0.186	Up
GSE62254	209804_at	0.0123	-0.105	DCLRE1A	0.105	Down
GSE62254	211416_x_at	0.0111	0.115	GGTLC1	0.115	Up
GSE62254	1559413_at	0.00718	0.0433	TCP11L2	0.0433	Up
GSE62254	215123_at	0.0106	0.146	NPIPA5///NPIPB5///LOC613037///NPIPB4///NPIPB3	0.146	Up
GSE62254	244019_at	0.00912	0.0708		0.0708	Up
GSE62254	219865_at	0.0123	-0.113	LINC00339	0.113	Down
GSE62254	1552274_at	0.0115	-0.13	PXK	0.13	Down
GSE62254	210802_s_at	0.0123	-0.113	DIMT1	0.113	Down
GSE62254	221104_s_at	0.00682	0.0766	NIPSNAP3B	0.0766	Up
GSE62254	201600_at	0.0109	-0.0903	PHB2	0.0903	Down
GSE62254	204989_s_at	0.0102	-0.0916	ITGB4	0.0916	Down
GSE62254	204388_s_at	0.0124	0.26	MAOA	0.26	Up
GSE62254	213070_at	0.0119	0.0709	PIK3C2A	0.0709	Up
GSE62254	1564521_x_at	0.0124	-0.0804	PRMT5	0.0804	Down
GSE62254	219277_s_at	0.00959	0.122	OGDHL	0.122	Up
GSE62254	1556841_a_at	0.00866	-0.0431	ALDH1L2	0.0431	Down
GSE62254	240385_at	0.0107	0.131		0.131	Up
GSE62254	211852_s_at	0.0124	0.139	ATRN	0.139	Up
GSE62254	226328_at	0.0111	-0.0531	KLF16	0.0531	Down
GSE62254	228101_at	0.0083	0.0799	APBA1	0.0799	Up
GSE62254	218850_s_at	0.0105	-0.0914	LIMD1	0.0914	Down
GSE62254	212522_at	0.0123	0.0843	PDE8A	0.0843	Up
GSE62254	236090_at	0.0119	-0.114		0.114	Down
GSE62254	224672_x_at	0.0104	-0.0618	MESDC2	0.0618	Down
GSE62254	204764_at	0.0102	-0.0604	CHURC1-FNTB///FNTB	0.0604	Down
GSE62254	221549_at	0.0125	-0.0557	GRWD1	0.0557	Down
GSE62254	209408_at	0.0122	-0.119	KIF2C	0.119	Down
GSE62254	234944_s_at	0.0123	-0.131	MTFR2	0.131	Down
GSE62254	220512_at	0.00841	0.121	DLC1	0.121	Up
GSE62254	213185_at	0.0124	0.0655	KIAA0556	0.0655	Up
GSE62254	217703_x_at	0.0125	0.0624		0.0624	Up
GSE62254	240539_at	0.00758	0.0403		0.0403	Up
GSE62254	203884_s_at	0.0125	0.111	RAB11FIP2	0.111	Up
GSE62254	217819_at	0.0117	-0.0673	GOLGA7	0.0673	Down
GSE62254	226077_at	0.0113	-0.102	RNF145	0.102	Down
GSE62254	1560915_at	0.00688	-0.0705	DPY19L1	0.0705	Down
GSE62254	1558281_a_at	0.0115	0.105	TMEM184A	0.105	Up
GSE62254	224304_x_at	0.0121	-0.103	NIN	0.103	Down
GSE62254	201508_at	0.0121	0.131	IGFBP4	0.131	Up
GSE62254	222118_at	0.0118	-0.125	CENPN	0.125	Down
GSE62254	1566887_x_at	0.0126	0.109		0.109	Up
GSE62254	1563364_at	0.00706	0.0608		0.0608	Up
GSE62254	236755_at	0.00936	0.0769		0.0769	Up
GSE62254	209532_at	0.0119	-0.11	PLAA	0.11	Down
GSE62254	212306_at	0.0125	-0.0752	CLASP2	0.0752	Down
GSE62254	220936_s_at	0.00983	0.111	H2AFJ	0.111	Up
GSE62254	213447_at	0.0106	0.148	LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW	0.148	Up
GSE62254	228660_x_at	0.0117	-0.118	SEMA4F	0.118	Down
GSE62254	243188_at	0.00936	-0.0964	ZNF283	0.0964	Down
GSE62254	211865_s_at	0.00988	-0.0547	FZR1	0.0547	Down
GSE62254	219348_at	0.0127	0.0714	USE1	0.0714	Up
